City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,mozirje,SI,2020-09-01 06:51:57,46.34,14.96,57.99,96,99,2.89,light rain
166,oistins,BB,2020-09-01 06:47:48,13.07,-59.53,78.8,83,20,4.7,few clouds
167,souillac,MU,2020-09-01 06:51:58,-20.52,57.52,73.4,73,75,17.22,shower rain
168,saint-philippe,RE,2020-09-01 06:51:58,-21.36,55.77,78.8,54,75,21.92,broken clouds
169,formosa,AR,2020-09-01 06:51:58,-26.18,-58.18,55.4,76,87,10.29,overcast clouds
170,bonthe,SL,2020-09-01 06:51:58,7.53,-12.51,75.36,87,100,10.45,light rain
171,hofn,IS,2020-09-01 06:51:58,64.25,-15.21,52.02,87,100,13.96,overcast clouds
172,tooele,US,2020-09-01 06:50:48,40.53,-112.3,59.0,71,1,6.93,clear sky
173,pho chai,TH,2020-09-01 06:51:58,16.33,103.77,87.8,70,20,2.24,few clouds
174,pandan,PH,2020-09-01 06:51:58,14.05,124.17,89.29,62,41,4.27,scattered clouds
175,isangel,VU,2020-09-01 06:51:59,-19.55,169.27,75.2,69,75,6.93,broken clouds
176,erenhot,CN,2020-09-01 06:51:59,43.65,111.98,68.77,37,0,19.57,clear sky
177,bac lieu,VN,2020-09-01 06:51:59,9.29,105.72,87.62,68,100,11.83,light rain
178,gabu,GW,2020-09-01 06:51:59,12.28,-14.22,72.16,98,57,3.33,broken clouds
179,chiang klang,TH,2020-09-01 06:51:59,19.29,100.86,87.8,70,40,5.82,scattered clouds
180,emerald,AU,2020-09-01 06:51:59,-23.53,148.17,84.2,23,0,4.7,clear sky
181,mehamn,NO,2020-09-01 06:52:00,71.04,27.85,46.4,75,75,19.46,shower rain
182,ceccano,IT,2020-09-01 06:52:00,41.57,13.33,63.0,100,40,0.83,fog
183,puerto penasco,MX,2020-09-01 06:47:22,31.32,-113.53,88.0,79,0,14.0,clear sky
184,sumbe,AO,2020-09-01 06:52:00,-11.21,13.84,69.8,80,90,3.02,overcast clouds
185,saldanha,ZA,2020-09-01 06:52:00,-33.01,17.94,50.0,76,91,6.93,overcast clouds
186,jiexiu,CN,2020-09-01 06:52:00,37.02,111.91,83.59,24,99,8.86,overcast clouds
187,bukene,TZ,2020-09-01 06:52:00,-4.23,32.88,78.3,31,0,9.24,clear sky
188,lompoc,US,2020-09-01 06:52:00,34.64,-120.46,60.8,82,90,0.47,overcast clouds
189,cockburn town,TC,2020-09-01 06:52:01,21.46,-71.14,83.07,82,0,17.38,clear sky
190,norman wells,CA,2020-09-01 06:52:01,65.28,-126.83,50.0,100,90,3.36,light rain
191,fairbanks,US,2020-09-01 06:52:01,64.84,-147.72,55.4,62,75,3.36,broken clouds
192,ambilobe,MG,2020-09-01 06:52:01,-13.2,49.05,92.3,23,0,4.5,clear sky
193,kroya,ID,2020-09-01 06:52:01,-7.63,109.25,81.64,68,100,14.0,overcast clouds
194,san jose,US,2020-09-01 06:49:00,37.34,-121.89,62.01,82,90,4.7,smoke
195,itaqui,BR,2020-09-01 06:52:01,-29.13,-56.55,51.39,63,100,19.55,overcast clouds
196,juneau,US,2020-09-01 06:51:14,58.3,-134.42,55.99,93,90,10.29,light rain
197,deputatskiy,RU,2020-09-01 06:52:01,69.3,139.9,44.15,61,43,13.44,scattered clouds
198,xai-xai,MZ,2020-09-01 06:52:02,-25.05,33.64,64.53,79,100,12.59,light rain
199,belmonte,BR,2020-09-01 06:52:02,-15.86,-38.88,69.8,88,20,2.24,few clouds
200,vardo,NO,2020-09-01 06:52:02,70.37,31.11,48.2,70,75,12.75,broken clouds
201,prince rupert,CA,2020-09-01 06:52:02,54.32,-130.32,55.4,100,90,2.24,overcast clouds
202,palmer,US,2020-09-01 06:49:26,42.16,-72.33,60.01,100,1,2.33,clear sky
203,kamenka,RU,2020-09-01 06:52:02,51.32,42.77,81.0,34,0,8.57,clear sky
204,paka,MY,2020-09-01 06:52:03,4.64,103.44,89.6,70,20,6.93,few clouds
205,kaeo,NZ,2020-09-01 06:52:03,-35.1,173.78,59.0,3,5,7.45,clear sky
206,east london,ZA,2020-09-01 06:52:03,-33.02,27.91,57.2,82,100,9.17,overcast clouds
207,leningradskiy,RU,2020-09-01 06:52:03,69.38,178.42,36.37,95,100,3.13,overcast clouds
208,saint-leu,RE,2020-09-01 06:52:03,-21.15,55.28,78.8,54,75,21.92,broken clouds
209,terrace,CA,2020-09-01 06:52:03,54.52,-128.6,57.2,93,75,11.41,broken clouds
210,merritt island,US,2020-09-01 06:51:07,28.54,-80.67,78.01,88,1,5.82,clear sky
211,palmares do sul,BR,2020-09-01 06:52:04,-30.26,-50.51,55.04,83,100,11.5,light rain
212,beringovskiy,RU,2020-09-01 06:52:04,63.05,179.32,46.47,64,95,0.43,overcast clouds
213,semnan,IR,2020-09-01 06:52:04,35.57,53.4,75.63,25,6,5.64,clear sky
214,bac ninh,VN,2020-09-01 06:52:04,21.18,106.05,95.0,53,9,5.82,clear sky
215,klaksvik,FO,2020-09-01 06:52:04,62.23,-6.59,51.8,93,99,11.41,overcast clouds
216,tocopilla,CL,2020-09-01 06:52:04,-22.09,-70.2,56.77,68,43,3.11,scattered clouds
217,codrington,AU,2020-09-01 06:52:04,-38.27,141.97,54.46,76,100,12.53,overcast clouds
218,saint anthony,US,2020-09-01 06:52:04,45.02,-93.22,59.0,71,1,5.84,clear sky
219,vermilion,US,2020-09-01 06:52:05,40.17,-87.75,69.01,100,40,3.15,mist
220,cairns,AU,2020-09-01 06:48:29,-16.92,145.77,78.8,50,0,21.92,clear sky
221,le port,RE,2020-09-01 06:52:05,-20.94,55.29,78.8,73,90,13.87,overcast clouds
222,marawi,PH,2020-09-01 06:52:05,8.0,124.29,84.99,81,63,7.0,broken clouds
223,san cristobal,VE,2020-09-01 06:52:05,7.77,-72.22,64.45,89,95,2.51,overcast clouds
224,los llanos de aridane,ES,2020-09-01 06:52:05,28.66,-17.92,73.4,69,75,6.93,broken clouds
225,ancud,CL,2020-09-01 06:52:05,-41.87,-73.82,37.99,94,0,5.28,clear sky
226,chauk,MM,2020-09-01 06:52:05,20.88,94.82,81.1,76,100,3.69,overcast clouds
227,mwaya,TZ,2020-09-01 06:52:06,-9.55,33.95,80.69,42,0,3.85,clear sky
228,inta,RU,2020-09-01 06:52:06,66.03,60.17,50.72,86,100,11.45,overcast clouds
229,beyneu,KZ,2020-09-01 06:52:06,45.32,55.2,93.56,11,0,10.02,clear sky
230,padang,ID,2020-09-01 06:52:06,-0.95,100.35,82.89,74,53,2.68,broken clouds
231,ballina,AU,2020-09-01 06:52:06,-28.87,153.57,68.0,68,40,13.87,scattered clouds
232,domoni,KM,2020-09-01 06:52:06,-12.26,44.53,79.54,65,12,8.34,few clouds
